ja,ko,lines
ソウル駅,서울역,"1, 4, 空港鉄道, 京義中央"
明洞,명동,4
会賢(南大門市場),회현,4
東大門歴史文化公園,동대문역사문화공원,"2, 4, 5"
東大門,동대문,"1, 4"
市庁,시청,"1, 2"
光化門,광화문,5
景福宮,경복궁,3
安国(仁寺洞),안국,3
鐘閣,종각,1
鍾路3街,종로3가,"1, 3, 5"
乙支路入口,을지로입구,2
弘大入口,홍대입구,"2, 空港鉄道, 京義中央"
新村,신촌,2
梨大,이대,2
合井,합정,"2, 6"
孔徳,공덕,"5, 6, 空港鉄道, 京義中央"
デジタルメディアシティ,디지털미디어시티,"6, 空港鉄道, 京義中央"
江南,강남,"2, 新盆唐"
新論峴,신논현,"9, 新盆唐"
新沙(カロスキル),신사,3
狎鴎亭,압구정,3
狎鴎亭ロデオ,압구정로데오,水仁・盆唐
清潭,청담,7
宣陵,선릉,"2, 水仁・盆唐"
三成(COEX),삼성,2
蚕室,잠실,"2, 8"
建大入口,건대입구,"2, 7"
聖水,성수,2
ソウルの森,서울숲,水仁・盆唐
梨泰院,이태원,6
漢南,한남,京義中央
漢江鎮,한강진,6
龍山,용산,"1, 京義中央"
新龍山,신용산,4
往十里,왕십리,"2, 5, 水仁・盆唐, 京義中央"
鷺梁津,노량진,"1, 9"
汝矣島,여의도,"5, 9"
永登浦,영등포,1
恵化(大学路),혜화,4
高速ターミナル,고속터미널,"3, 7, 9"
金浦空港,김포공항,"5, 9, 空港鉄道"
仁川空港1ターミナル,인천공항1터미널,空港鉄道
仁川空港2ターミナル,인천공항2터미널,空港鉄道
